Mekliganj,26.21,88.55
Mathabhanga,26.20,89.13
Cooch Behar Uttar,26.19,89.27
Cooch Behar Dakshin,26.19,89.27
Sitalkuchi,26.11,89.11
Sitai,26.03,89.19
Dinhata,26.08,89.28
Natabari,26.24,89.35
Tufanganj,26.19,89.40
Kumargram,26.36,89.49
Kalchini,26.41,89.28
Alipurduars,26.30,89.31
Falakata,26.32,89.12
Madarihat,26.42,89.17
Dhupguri,26.36,89.01
Jalpaiguri,26.42,89.00
Maynaguri,26.34,88.49
Rajganj,26.33,88.30
Dabgram-Phulbari,26.43,88.26
Mal,26.51,88.45
Nagrakata,26.54,88.54
Kalimpong,27.04,88.28
Darjeeling,27.02,88.10
Kurseong,26.53,88.17
Matigara-Naxalbari,26.43,88.23
Siliguri,26.43,88.26
Phansidewa,26.35,88.22
Chopra,26.24,88.18
Uttar Dinajpur,25.37,88.07
Islampur,26.16,88.12
Goalpokhar,26.05,88.08
Chakulia,26.01,87.57
Karandighi,25.48,87.56
Hemtabad,25.41,88.13
Kaliaganj,25.38,88.19
Raiganj,25.37,88.07
Itahar,25.27,88.10
Kushmandi,25.31,88.21
Dakshin Dinajpur,25.13,88.46
Kumarganj,25.26,88.43
Balurghat,25.13,88.46
Tapan,25.17,88.34
Gangarampur,25.24,88.31
Harirampur,25.22,88.16
Habibpur,25.01,88.21
Maldah,25.00,88.09
Gazole,25.13,88.11
Chanchal,25.23,87.59
Harishchandrapur,25.25,87.53
Malatipur,24.49,88.03
Ratua,25.12,87.56
Manikchak,25.03,87.54
English Bazar,25.0,88.09
Mothabari,24.57,88.05
Sujapur,24.54,88.05
Baisnabnagar,24.51,88.00
Farakka,24.49,87.54
Murshidabad,24.08,88.16
Samserganj,24.41,87.57
Suti,24.36,88.03
Jangipur,24.32,88.04
Raghunathganj,24.28,88.04
Sagardighi,24.17,88.06
Lalgola,24.25,88.15
Bhagabangola,24.20,88.17
Raninagar,24.14,88.30
Nabagram,24.07,88.12
Khargram,24.02,87.59
Burwan,23.56,87.56
Kandi,23.57,88.02
Bharatpur,23.52,88.05
Rejinagar,23.50,88.15
Beldanga,23.56,88.15
Baharampur,24.06,88.15
Hariharpara,24.02,88.27
Naoda,23.59,88.16
