STATE/UT,CONSTITUENCY,WINNER,SEX,PARTY,SYMBOL
West Bengal,Mekliganj,ADHIKARY PARESH CHANDRA,M,AITC,Flowers and Grass
West Bengal,Mathabhanga,Sushil Barman,M,BJP,Lotus
West Bengal,Cooch Behar Uttar,SUKUMAR ROY,M,BJP,Lotus
West Bengal,Cooch Behar Dakshin,Nikhil Ranjan Dey,M,BJP,Lotus
West Bengal,Sitalkuchi,Baren Chandra Barman,M,BJP,Lotus
West Bengal,Sitai,JAGADISH CHANDRA BARMA BASUNIA,M,AITC,Flowers and Grass
West Bengal,Dinhata,NISITH PRAMANIK,M,BJP,Lotus
West Bengal,Natabari,Mihir Goswami,M,BJP,Lotus
West Bengal,Tufanganj,Malati Rava Roy,F,BJP,Lotus
West Bengal,Kumargram,MANOJ KUMAR ORAON,M,BJP,Lotus
West Bengal,Kalchini,BISHAL LAMA,M,BJP,Lotus
West Bengal,Alipurduars,SUMAN KANJILAL,M,BJP,Lotus
West Bengal,Falakata,DIPAK BARMAN,M,BJP,Lotus
West Bengal,Madarihat,MANOJ TIGGA,M,BJP,Lotus
West Bengal,Dhupguri,BISHNU PADA RAY,M,BJP,Lotus
West Bengal,Maynaguri,Kaushik Roy,M,BJP,Lotus
West Bengal,Jalpaiguri,DR. PRADIP KUMAR BARMA,M,AITC,Flowers and Grass
West Bengal,Rajganj,KHAGESWAR ROY,M,AITC,Flowers and Grass
West Bengal,Dabgram-Fulbari,Sikha Chatterjee,F,BJP,Lotus
West Bengal,Mal,BULU CHIK BARAIK,M,AITC,Flowers and Grass
West Bengal,Nagrakata,PUNA BHENGRA,M,BJP,Lotus
West Bengal,Kalimpong,RUDEN SADA LEPCHA,M,IND,Whistle
West Bengal,Darjeeling,NEERAJ TAMANG ZIMBA,M,BJP,Lotus
West Bengal,Kurseong,Bishnu Prasad Sharma (alias B.P. Bajgain),M,BJP,Lotus
West Bengal,Matigara-Naxalbari,Anandamay Barman,M,BJP,Lotus
West Bengal,Siliguri,Sankar Ghosh,M,BJP,Lotus
West Bengal,Phansidewa,Durga Murmu,M,BJP,Lotus
West Bengal,Chopra,HAMIDUL RAHAMAN,M,AITC,Flowers and Grass
West Bengal,Islampur,ABDUL KARIM CHOWDHARY,M,AITC,Flowers and Grass
West Bengal,Goalpokhar,MD. GHULAM RABBANI,M,AITC,Flowers and Grass
West Bengal,Chakulia,AZAD MINHAJUL ARFIN,M,AITC,Flowers and Grass
West Bengal,Karandighi,GOUTAM PAUL,M,AITC,Flowers and Grass
