1,AITC,All India Trinamool Congress,NATIONAL PARTY
2,BJP,Bharatiya Janata Party,NATIONAL PARTY
3,BSP,Bahujan Samaj Party,NATIONAL PARTY
4,CPI,Communist Party of India,NATIONAL PARTY
5,CPI(M),Communist Party of India (Marxist),NATIONAL PARTY
6,INC,Indian National Congress,NATIONAL PARTY
7,NPEP,National People's Party,NATIONAL PARTY
8,AIFB,All India Forward Bloc,STATE PARTY
9,RSP,Revolutionary Socialist Party,STATE PARTY
10,AIMIM,All India Majlis-E-Ittehadul Muslimeen,STATE PARTY - OTHER STATES
11,AJSUP,AJSU Party,STATE PARTY - OTHER STATES
12,CPI(ML)(L),Communist Party of India (Marxist-Leninist) (Liberation),STATE PARTY - OTHER STATES
13,IUML,Indian Union Muslim League,STATE PARTY - OTHER STATES
14,JD(U),Janata Dal (United),STATE PARTY - OTHER STATES
15,LJP,Lok Jan Shakti Party,STATE PARTY - OTHER STATES
16,ABHM,Akhil Bharat Hindu Mahasabha,REGISTERED(Unrecognised) PARTY
17,AIMF,All India Minorities Front,REGISTERED(Unrecognised) PARTY
18,AMB,Amra Bangalee,REGISTERED(Unrecognised) PARTY
19,APoI,Ambedkarite Party of India,REGISTERED(Unrecognised) PARTY
20,BAHUMP,Bahujan Maha Party,REGISTERED(Unrecognised) PARTY
21,BHMP,Bharateeya Manavadhikar party,REGISTERED(Unrecognised) PARTY
22,BMF,Bharatiya Momin Front,REGISTERED(Unrecognised) PARTY
23,BMUP,Bahujan Mukti Party,REGISTERED(Unrecognised) PARTY
24,BNARP,Bharatiya Nyay-Adhikar Raksha Party,REGISTERED(Unrecognised) PARTY
25,BTP,Bhartiya Tribal Party,REGISTERED(Unrecognised) PARTY
26,CPIM,Communist Party of India (Marxist-Leninist) Red Star,REGISTERED(Unrecognised) PARTY
27,DSPI,Democratic Socialist Party of India,REGISTERED(Unrecognised) PARTY
28,GMM,Guru Chand Mukti Morcha,REGISTERED(Unrecognised) PARTY
29,HAMS,Hindustani Awam Morcha (Secular),REGISTERED(Unrecognised) PARTY
30,HUMP,Humanity Universal Motion Party,REGISTERED(Unrecognised) PARTY
31,IUC,Indian Unity Centre,REGISTERED(Unrecognised) PARTY
32,JASP,Jan Sangh Party,REGISTERED(Unrecognised) PARTY
33,JeSM,Jamat-E-Seratul Mustakim,REGISTERED(Unrecognised) PARTY
34,JSTDVPMTP,Justice and Development Party,REGISTERED(Unrecognised) PARTY
35,KPPU,Kamatapur People’s Party (United),REGISTERED(Unrecognised) PARTY
36,LKSAMYP,Lok Samya Party,REGISTERED(Unrecognised) PARTY
37,MPOI,Mulnibasi Party of India,REGISTERED(Unrecognised) PARTY
38,NDPOI,New Democratic Party of India,REGISTERED(Unrecognised) PARTY
39,NRPI,National Republic Party Of India,REGISTERED(Unrecognised) PARTY
40,PDS,Party for Democratic Socialism,REGISTERED(Unrecognised) PARTY
41,PMPT,Purvanchal Mahapanchayat,REGISTERED(Unrecognised) PARTY
42,PRDSEP,Paradise Party,REGISTERED(Unrecognised) PARTY
43,PrPP,Progressive People's Party,REGISTERED(Unrecognised) PARTY
44,RPI(A),Republican Party of India (A),REGISTERED(Unrecognised) PARTY
45,RPPRINAT,Republican Party of India (Athawale),REGISTERED(Unrecognised) PARTY
46,RSPI,Revolutionary Socialist Party of India(Marxist),REGISTERED(Unrecognised) PARTY
47,RSSCMJP,Rashtriya Secular Majlis Party,REGISTERED(Unrecognised) PARTY
48,RTORP,Right to Recall Party,REGISTERED(Unrecognised) PARTY
49,RVNP,Rashtravadi Janata Party,REGISTERED(Unrecognised) PARTY
50,SDPI,SOCIAL DEMOCRATIC PARTY OF INDIA,REGISTERED(Unrecognised) PARTY
51,SJSMP,Sajag Samaj Party,REGISTERED(Unrecognised) PARTY
52,SP(I),Socialist Party (India),REGISTERED(Unrecognised) PARTY
53,SUCI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),REGISTERED(Unrecognised) PARTY
54,SWJP,Samajwadi Jan Parishad,REGISTERED(Unrecognised) PARTY
55,UTSAP,United Socialist Party,REGISTERED(Unrecognised) PARTY
56,VINPA,Vikas India Party,REGISTERED(Unrecognised) PARTY
57,WBSP,West Bengal Socialist Party,REGISTERED(Unrecognised) PARTY
58,WPOI,Welfare Party Of India,REGISTERED(Unrecognised) PARTY
59,IND,Independent,INDEPENDENTS
60,NOTA,None of the Above,INDEPENDENTS
